Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
Control4,T_34_0,T_34,0,9.993737753333333,2995.3459022530333,299.7222837125138,0.0,0.880421052631579,0.10336842105263158,0.016210526315789474,5.0049610850226385,0.004810635,9.998548388333333,-0.13354497354497355,0.43094736842105263,2047,2678,29
R2R4,T_35_0,T_35,0,9.993737753333333,3473.1978535137187,347.5374218575288,0.0,0.7454736842105263,0.22357894736842104,0.030947368421052633,5.8094340881982784,0.004810635,9.998548388333333,-0.043789473684210524,0.47810526315789476,2271,2479,35
Control,T_4_0,T_4,0,9.993737753333333,2852.9873707257275,285.4775101311955,0.0,0.7115789473684211,0.1703157894736842,0.11810526315789474,4.760656031755956,0.004810635,9.998548388333333,0.24392864818396734,0.6092631578947368,2894,1759,28
R2R4,T_5_0,T_5,0,9.993737753333333,2384.4332355694787,238.59273621365236,0.0,0.6587368421052632,0.2248421052631579,0.11642105263157895,3.9618842523943636,0.004810635,9.998548388333333,0.36061381074168797,0.672,3192,1500,21
Control,T_6_0,T_6,0,9.993737753333333,4143.694991921712,414.6291501935415,0.0,0.8858947368421053,0.08589473684210526,0.028210526315789474,6.924243125829009,0.004810635,9.998548388333333,0.2819194515852613,0.6298947368421053,2992,1676,38
R2R4,T_7_0,T_7,0,9.993737753333333,2980.683174914102,298.2550921870967,0.0,0.6787368421052632,0.21768421052631579,0.10357894736842105,4.975935225574537,0.004810635,9.998548388333333,0.06450926123057271,0.5263157894736842,2500,2197,29
Control,T_8_0,T_8,0,9.993737753333333,3276.8111425924535,327.8864448388691,0.0,0.8383157894736842,0.12463157894736843,0.03705263157894737,5.4757109931144115,0.004810635,9.998548388333333,0.09476843910806175,0.5374736842105263,2553,2111,31
R2R4,T_9_0,T_9,0,9.993737753333333,2695.5999953775263,269.72891043478,0.0,0.8176842105263158,0.14694736842105263,0.03536842105263158,4.504011449330491,0.004810635,9.998548388333333,0.44,0.7086315789473684,3366,1309,18
Control,T_0_0,T_0,0,59.99737398666666,10563.11078077551,176.05955192510547,0.0,0.463637642425095,0.30275003516669013,0.23361232240821495,2.9299539489399273,10.000639446666666,69.99801343333333,0.4024880810488677,0.6620832747221832,18827,8021,82
R2R4,T_1_0,T_1,0,59.99737398666666,6248.947452083056,104.15368268404168,0.0,0.28699535799690534,0.37434941623294415,0.3386552257701505,1.7363807215219058,10.000639446666666,69.99801343333333,-0.20900867638914528,0.37670558447038965,10712,16373,39
Control4,T_10_0,T_10,0,59.99737398666666,6638.515946432221,110.646775105649,0.0,0.3070755380503587,0.3290195526797018,0.3639049092699395,1.8432291633977849,10.000639446666666,69.99801343333333,-0.5873262845220836,0.20519763679842454,5835,22444,55
