ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType,ClosestNeighbor
1,L3,12,574,-132,19,29176,3681314.669,None,-1,15.99960321,-102.1505363,1447.96409,125865.8814,High,11/13/2024 12:32:14,907,0,1,One,190.5597019
0,L4,387,574,-63,15,29176,3681314.669,None,225,11.31342793,-100.9863603,1807.955163,65928.81352,High,11/13/2024 12:32:14,907,0,1,One,139.5564402
1,L4,447,448,-3,-111,29176,3681314.669,None,135,11.31342793,90.50517888,1087.973018,68522.52738,High,11/13/2024 12:32:14,907,0,1,One,139.5564402
0,L5,212,787,68,-135,29176,3681314.669,None,-1,0,0,2887.928379,91158.62994,High,11/13/2024 12:32:14,907,0,1,One,265.3243298
1,L5,18,968,-126,46,29176,3681314.669,None,270,47.99880963,182.1311488,2167.946235,96594.5694,High,11/13/2024 12:32:14,907,0,1,One,265.3243298
0,L6,343,1036,-107,115,29176,3681314.669,None,-1,55.99861123,-3.372106272,662.9427402,119901.5238,High,11/13/2024 12:32:14,907,0,1,One,205.1974659
1,L6,548,1045,98,124,29176,3681314.669,None,180,35.77620039,222.3719922,1447.96409,104175.066,High,11/13/2024 12:32:14,907,0,1,One,205.1974659
0,R1,875,43,-105,-138,29176,3681314.669,None,-1,0,0,0,19849.34189,NotFound,11/13/2024 12:32:14,907,0,0,None,-1
1,R1,872,46,-108,-135,29176,3681314.669,None,360,0,0,2887.928379,20701.76241,High,11/13/2024 12:32:14,907,0,1,One,-1
0,R2,1359,32,70,-147,29176,3681314.669,None,360,0,0,2887.928379,25751.82931,High,11/13/2024 12:32:14,907,0,1,One,144.4991349
1,R2,1215,44,-74,-135,29176,3681314.669,None,-1,0,0,2887.928379,22632.07758,High,11/13/2024 12:32:14,907,0,1,One,144.4991349
0,R3,1104,429,129,-123,29176,3681314.669,None,360,0,0,2887.928379,19294.53232,High,11/13/2024 12:32:14,907,0,1,One,-1
1,R3,1109,446,134,-106,29176,3681314.669,None,-1,0,0,0,41629.46106,NotFound,11/13/2024 12:32:14,907,0,0,None,-1
0,R4,1419,432,131,-119,29176,3681314.669,None,360,0,0,2887.928379,30705.91463,High,11/13/2024 12:32:14,907,0,1,One,53.60037313
1,R4,1411,485,123,-66,29176,3681314.669,None,225,11.31342793,90.50517888,1807.955163,20934.7716,High,11/13/2024 12:32:14,907,0,1,One,53.60037313
0,R5,1073,1043,96,129,29176,3681314.669,None,-1,7.999801605,0.16631266,1447.96409,23645.95761,High,11/13/2024 12:32:14,907,0,1,One,-1
1,R5,1088,1046,111,132,29176,3681314.669,None,-1,0,0,0,24044.04607,NotFound,11/13/2024 12:32:14,907,0,0,None,-1
0,R6,1398,1049,115,133,29176,3681314.669,None,-1,68.35033487,546.7891186,2887.928379,60617.89896,High,11/13/2024 12:32:14,907,0,1,One,20.1246118
1,R6,1416,1040,133,124,29176,3681314.669,None,-1,17.8881002,143.1012527,1087.973018,55253.12405,High,11/13/2024 12:32:14,907,0,1,One,20.1246118
0,L1,97,59,-41,-122,29177,3681439.637,None,-1,8.002054928,64.03288307,2888.741829,91667.97331,High,11/13/2024 12:32:15,32,0,1,One,234.7977853
1,L1,260,228,122,47,29177,3681439.637,None,-1,11.31661461,-52.58538864,2888.741829,104940.7035,High,11/13/2024 12:32:15,32,0,1,One,234.7977853
0,L2,488,238,43,55,29177,3681439.637,None,-1,0,0,2888.741829,67904.41796,High,11/13/2024 12:32:15,32,0,1,One,184.439692
1,L2,385,85,-60,-98,29177,3681439.637,None,180,107.3588327,-167.144868,1448.371942,72568.94641,High,11/13/2024 12:32:15,32,0,1,One,184.439692
0,L3,118,418,-26,-137,29177,3681439.637,None,-1,17.89313878,-59.2508566,1448.371942,137068.216,High,11/13/2024 12:32:15,32,0,1,One,185
1,L3,14,571,-130,16,29177,3681439.637,None,315,28.85181935,102.8441395,2528.649357,125869.487,High,11/13/2024 12:32:15,32,0,1,One,185
0,L4,387,575,-63,16,29177,3681439.637,None,-1,8.002054928,-26.49778862,1808.464414,65929.81352,High,11/13/2024 12:32:15,32,0,1,One,140.4599587
1,L4,447,448,-3,-111,29177,3681439.637,None,-1,0,-90.53067168,1088.27947,68522.52738,High,11/13/2024 12:32:15,32,0,1,One,140.4599587
0,L5,212,787,68,-135,29177,3681439.637,None,360,0,0,2888.741829,91158.62994,High,11/13/2024 12:32:15,32,0,1,One,260.7680962
1,L5,16,959,-128,37,29177,3681439.637,None,-1,73.77530116,206.264901,2168.556885,96603.78895,High,11/13/2024 12:32:15,32,0,1,One,260.7680962
0,L6,343,1041,-107,120,29177,3681439.637,None,90,40.01027464,-127.9395476,728.1869984,119906.5238,High,11/13/2024 12:32:15,32,0,1,One,199.0904317
1,L6,542,1047,92,126,29177,3681439.637,None,-1,50.60943907,118.6963906,1448.371942,104181.3905,High,11/13/2024 12:32:15,32,0,1,One,199.0904317
0,R1,875,43,-105,-138,29177,3681439.637,None,-1,0,0,0,19849.34189,NotFound,11/13/2024 12:32:15,32,0,0,None,-1
1,R1,872,46,-108,-135,29177,3681439.637,None,-1,0,0,2888.741829,20701.76241,High,11/13/2024 12:32:15,32,0,1,One,-1
0,R2,1359,32,70,-147,29177,3681439.637,None,-1,0,0,2888.741829,25751.82931,High,11/13/2024 12:32:15,32,0,1,One,144.4991349
1,R2,1215,44,-74,-135,29177,3681439.637,None,360,0,0,2888.741829,22632.07758,High,11/13/2024 12:32:15,32,0,1,One,144.4991349
0,R3,1104,429,129,-123,29177,3681439.637,None,-1,0,0,2888.741829,19294.53232,High,11/13/2024 12:32:15,32,0,1,One,-1
1,R3,1109,446,134,-106,29177,3681439.637,None,-1,0,0,0,41629.46106,NotFound,11/13/2024 12:32:15,32,0,0,None,-1
0,R4,1419,432,131,-119,29177,3681439.637,None,-1,0,0,2888.741829,30705.91463,High,11/13/2024 12:32:15,32,0,1,One,53.60037313
1,R4,1411,485,123,-66,29177,3681439.637,None,-1,0,-90.53067168,1808.464414,20934.7716,High,11/13/2024 12:32:15,32,0,1,One,53.60037313
0,R5,1073,1043,96,129,29177,3681439.637,None,360,0,-64.01485185,2888.741829,23645.95761,High,11/13/2024 12:32:15,32,0,1,One,-1
1,R5,1088,1046,111,132,29177,3681439.637,None,-1,0,0,0,24044.04607,NotFound,11/13/2024 12:32:15,32,0,0,None,-1
0,R6,1406,1045,123,129,29177,3681439.637,None,360,71.57255511,25.78438333,2888.741829,60626.84323,High,11/13/2024 12:32:15,32,0,1,One,-1
